RegionNombre,Semana,Atenciones_Urg
Región de Antofagasta,2021-11-23,1240
Región de Antofagasta,2021-11-30,1266
Región de Antofagasta,2021-12-07,1155
Región de Antofagasta,2021-12-14,1183
Región de Antofagasta,2021-12-21,1181
Región de Antofagasta,2021-12-28,1439
Región de Antofagasta,2022-01-04,1882
Región de Antofagasta,2022-01-11,1624
Región de Antofagasta,2022-01-18,1544
Región de Antofagasta,2022-01-25,1692
Región de Antofagasta,2022-02-01,1238
Región de Antofagasta,2022-02-08,1017
Región de Antofagasta,2022-02-15,885
Región de Antofagasta,2022-02-22,848
Región de Antofagasta,2022-03-01,841
Región de Antofagasta,2022-03-08,1739
Región de Antofagasta,2022-03-15,2797
Región de Antofagasta,2022-03-22,2831
Región de Antofagasta,2022-03-29,2463
Región de Antofagasta,2022-04-05,2322
Región de Antofagasta,2022-04-12,2306
Región de Antofagasta,2022-04-19,2324
Región de Antofagasta,2022-04-26,2357
Región de Antofagasta,2022-05-03,2757
Región de Antofagasta,2022-05-10,3608
Región de Antofagasta,2022-05-17,3926
Región de Antofagasta,2022-05-24,4277
Región de Antofagasta,2022-05-31,4151
Región de Antofagasta,2022-06-07,3997
Región de Antofagasta,2022-06-14,3657
Región de Antofagasta,2022-06-21,3704
Región de Antofagasta,2022-06-28,3055
Región de Antofagasta,2022-07-05,2813
Región de Antofagasta,2022-07-12,2337
Región de Antofagasta,2022-07-19,2257
Región de Antofagasta,2022-07-26,2688
Región de Antofagasta,2022-08-02,3166
Región de Antofagasta,2022-08-09,3300
Región de Antofagasta,2022-08-16,3608
Región de Antofagasta,2022-08-23,3289
Región de Antofagasta,2022-08-30,2932
Región de Antofagasta,2022-09-06,3027
Región de Antofagasta,2022-09-13,2210
Región de Antofagasta,2022-09-20,2784
Región de Antofagasta,2022-09-27,2504
Región de Antofagasta,2022-10-04,2672
Región de Antofagasta,2022-10-11,3158
Región de Antofagasta,2022-10-18,3677
Región de Antofagasta,2022-10-25,3724
Región de Antofagasta,2022-11-01,4969
Región de Antofagasta,2022-11-08,4889
Región de Antofagasta,2022-11-15,5032
Región de Antofagasta,2022-11-22,5139
Región de Antofagasta,2022-11-29,4590
Región de Antofagasta,2022-12-06,4043
Región de Antofagasta,2022-12-13,3141
Región de Antofagasta,2022-12-20,2808
Región de Antofagasta,2022-12-27,2571
Región de Antofagasta,2023-01-03,2265
Región de Antofagasta,2023-01-10,1789
Región de Antofagasta,2023-01-17,1356
Región de Antofagasta,2023-01-24,1212
Región de Antofagasta,2023-01-31,1116
Región de Antofagasta,2023-02-07,1184
Región de Antofagasta,2023-02-14,1345
Región de Antofagasta,2023-02-21,1573
Región de Antofagasta,2023-02-28,1787
Región de Antofagasta,2023-03-07,3004
Región de Antofagasta,2023-03-14,4015
Región de Antofagasta,2023-03-21,3469
Región de Antofagasta,2023-03-28,3190
Región de Antofagasta,2023-04-04,3259
Región de Antofagasta,2023-04-11,4171
